Timestamp	ID	Payload	Payload Length	Type	Name
0,000000	166	FA  FF  F8  FF  02  00  00  00	8	S	
0,000484	165	08  02  00  00  00  00  DA  FB	8	S	
0,000984	164	00  00  00  00  00  00  00  00	8	S	
0,001451	163	EC  01  D8  01  EC  01  EC  01	8	S	
0,001955	192	00  00  00  00  01  00  00  00	8	S	
0,003874	192	00  00  00  00  01  00  00  00	8	S	
0,006586	173	02  00  00  00  00  00  00  00	8	S	
0,007070	172	00  00  01  00  50  C3  05  00	8	S	
0,007562	171	00  00  00  00  00  08  00  00	8	S	
0,008033	168	47  00  48  22  FD  FF  02  00	8	S	
0,008513	167	0F  00  00  00  76  FF  4B  FF	8	S	
0,009005	166	00  00  03  00  FE  FF  00  00	8	S	
0,009489	165	08  02  00  00  00  00  DA  FB	8	S	
0,009988	164	00  00  00  00  00  00  00  00	8	S	
0,010456	163	EC  01  D8  01  EC  01  EC  01	8	S	
0,010960	192	00  00  00  00  01  00  00  00	8	S	
0,013867	192	00  00  00  00  01  00  00  00	8	S	
0,015583	173	02  00  00  00  00  00  00  00	8	S	
0,016067	172	00  00  00  00  53  C3  05  00	8	S	
0,016558	171	00  00  00  00  00  08  00  00	8	S	
0,017042	168	47  00  48  22  01  00  00  00	8	S	
0,017518	167	0C  00  00  00  76  FF  46  FF	8	S	
0,018005	166	01  00  FE  FF  05  00  00  00	8	S	
0,018489	165	08  02  00  00  00  00  DA  FB	8	S	
0,018989	164	00  00  00  00  00  00  00  00	8	S	
0,019449	163	ED  01  D9  01  EC  01  EC  01	8	S	
0,019952	192	00  00  00  00  01  00  00  00	8	S	
0,023863	192	00  00  00  00  01  00  00  00	8	S	
0,024671	173	02  00  00  00  00  00  00  00	8	S	
0,025143	174	10  00  24  18  10  05  13  20	8	S	
0,025618	172	00  00  FD  FF  56  C3  05  00	8	S	
0,026110	171	00  00  00  00  00  08  00  00	8	S	
0,026594	170	07  00  01  0C  01  00  80  00	8	S	
0,027065	169	97  00  FA  00  FB  01  87  04	8	S	
0,027549	168	47  00  48  22  00  00  FB  FF	8	S	
0,028029	167	0F  00  00  00  71  FF  4B  FF	8	S	
0,028517	166	04  00  FE  FF  05  00  00  00	8	S	
0,029000	165	08  02  00  00  00  00  DA  FB	8	S	
0,029500	164	00  00  00  00  00  00  00  00	8	S	
0,029960	163	ED  01  D9  01  EC  01  EC  01	8	S	
0,030424	162	F0  D8  F0  D8  AD  01  00  00	8	S	
0,030879	161	24  01  E9  08  E7  08  F0  D8	8	S	
0,031351	160	ED  00  EB  00  ED  00  FB  00	8	S	
0,031855	192	00  00  00  00  01  00  00  00	8	S	
0,033579	173	00  00  00  00  00  00  00  00	8	S	
0,034059	172	00  00  06  00  59  C3  05  00	8	S	
0,034550	171	00  00  00  00  00  08  00  00	8	S	
0,035018	168	47  00  48  22  FA  FF  0A  00	8	S	
0,035494	167	0C  00  00  00  76  FF  46  FF	8	S	
0,035981	166	01  00  0A  00  08  00  00  00	8	S	
0,036461	165	09  02  00  00  00  00  DA  FB	8	S	
0,036961	164	00  00  00  00  00  00  00  00	8	S	
0,037433	163	EC  01  D8  01  EC  01  EB  01	8	S	
0,037936	192	00  00  00  00  01  00  00  00	8	S	
0,038864	192	00  00  00  00  01  00  00  00	8	S	
0,042576	173	07  00  00  00  00  00  00  00	8	S	
0,043052	172	00  00  FC  FF  5C  C3  05  00	8	S	
0,043543	171	00  00  00  00  00  08  00  00	8	S	
0,044015	168	47  00  48  22  FE  FF  F8  FF	8	S	
0,044503	167	11  00  00  00  9C  FF  3E  FF	8	S	
0,044995	166	FA  FF  FF  FF  FE  FF  00  00	8	S	
0,045475	165	07  02  FF  FF  00  00  DA  FB	8	S	
0,045974	164	00  00  00  00  00  00  00  00	8	S	
0,046442	163	ED  01  D8  01  ED  01  EB  01	8	S	
0,046946	192	00  00  00  00  01  00  00  00	8	S	
0,048865	192	00  00  00  00  01  00  00  00	8	S	
0,051501	173	04  00  00  00  00  00  00  00	8	S	
0,051989	172	00  00  08  00  5F  C3  05  00	8	S	
0,052480	171	00  00  00  00  00  08  00  00	8	S	
0,052960	168	47  00  48  22  01  00  0F  00	8	S	
0,053436	167	0C  00  00  00  65  FF  46  FF	8	S	
0,053919	166	0A  00  03  00  05  00  00  00	8	S	
0,054399	165	09  02  00  00  00  00  DA  FB	8	S	
0,054899	164	00  00  00  00  00  00  00  00	8	S	
0,055367	163	ED  01  D8  01  ED  01  EC  01	8	S	
0,055871	192	00  00  00  00  01  00  00  00	8	S	
0,058857	192	00  00  00  00  01  00  00  00	8	S	
0,060497	173	04  00  00  00  00  00  00  00	8	S	
0,060977	172	00  00  FE  FF  62  C3  05  00	8	S	
0,061469	171	00  00  00  00  00  08  00  00	8	S	
0,061948	168	47  00  48  22  FC  FF  FB  FF	8	S	
0,062432	167	0C  00  00  00  87  FF  3E  FF	8	S	
0,062912	166	FA  FF  01  00  F8  FF  00  00	8	S	
0,063392	165	07  02  FF  FF  00  00  DA  FB	8	S	
0,063891	164	00  00  00  00  00  00  00  00	8	S	
0,064359	163	ED  01  D8  01  ED  01  EC  01	8	S	
0,064863	192	00  00  00  00  01  00  00  00	8	S	
0,068853	192	00  00  00  00  01  00  00  00	8	S	
0,069501	173	0C  00  00  00  00  00  00  00	8	S	
0,069993	172	00  00  00  00  65  C3  05  00	8	S	
0,070485	171	00  00  00  00  00  08  00  00	8	S	
0,070964	168	47  00  48  22  FF  FF  00  00	8	S	
0,071452	167	0C  00  00  00  76  FF  3E  FF	8	S	
0,071948	166	00  00  01  00  00  00  00  00	8	S	
0,072423	165	0A  02  01  00  00  00  DA  FB	8	S	
0,072923	164	00  00  00  00  00  00  00  00	8	S	
0,073391	163	ED  01  D8  01  EC  01  EC  01	8	S	
0,073895	192	00  00  00  00  01  00  00  00	8	S	
0,078571	173	00  00  00  00  00  00  00  00	8	S	
0,079047	172	00  00  FE  FF  68  C3  05  00	8	S	
0,079538	171	00  00  00  00  00  08  00  00	8	S	
0,080022	168	47  00  48  22  00  00  FB  FF	8	S	
0,080510	167	0F  00  00  00  7F  FF  46  FF	8	S	
0,081001	166	FD  FF  FF  FF  00  00  00  00	8	S	
0,081481	165	09  02  00  00  00  00  DA  FB	8	S	
0,081981	164	00  00  00  00  00  00  00  00	8	S	
0,082448	163	ED  01  D8  01  EC  01  EC  01	8	S	
0,082952	192	00  00  00  00  01  00  00  00	8	S	
0,083860	192	00  00  00  00  01  00  00  00	8	S	
0,087660	173	02  00  00  00  00  00  00  00	8	S	
0,088148	172	00  00  00  00  6B  C3  05  00	8	S	
0,088639	171	00  00  00  00  00  08  00  00	8	S	
0,089119	168	47  00  48  22  01  00  01  00	8	S	
0,089599	167	11  00  00  00  71  FF  43  FF	8	S	
0,090086	166	05  00  FF  FF  00  00  00  00	8	S	
0,090566	165	07  02  00  00  00  00  DA  FB	8	S	
0,091066	164	00  00  00  00  00  00  00  00	8	S	
0,091538	163	ED  01  D8  01  EC  01  ED  01	8	S	
0,092041	192	00  00  00  00  01  00  00  00	8	S	
0,093853	192	00  00  00  00  01  00  00  00	8	S	
0,096493	173	04  00  00  00  00  00  00  00	8	S	
0,096981	172	00  00  02  00  6E  C3  05  00	8	S	
0,097472	171	00  00  00  00  00  08  00  00	8	S	
0,097952	168	47  00  48  22  00  00  03  00	8	S	
0,098436	167	0C  00  00  00  6E  FF  3E  FF	8	S	
0,098919	166	02  00  01  00  05  00  00  00	8	S	
0,099399	165	09  02  00  00  00  00  DA  FB	8	S	
0,099899	164	00  00  00  00  00  00  00  00	8	S	
0,100363	163	EB  01  D9  01  EC  01  ED  01	8	S	
0,100866	192	00  00  00  00  01  00  00  00	8	S	
0,103849	192	00  00  00  00  01  00  00  00	8	S	
0,105565	173	04  00  00  00  00  00  00  00	8	S	
0,106053	172	00  00  00  00  71  C3  05  00	8	S	
0,106544	171	00  00  00  00  00  08  00  00	8	S	
0,107028	168	47  00  48  22  00  00  FF  FF	8	S	
0,107516	167	0F  00  00  00  7F  FF  4B  FF	8	S	
0,108004	166	00  00  FF  FF  FD  FF  00  00	8	S	
0,108484	165	07  02  FF  FF  00  00  DA  FB	8	S	
0,108984	164	00  00  00  00  00  00  00  00	8	S	
0,109443	163	ED  01  D9  01  EC  01  EB  01	8	S	
0,109947	192	00  00  00  00  01  00  00  00	8	S	
0,113845	192	00  00  00  00  01  00  00  00	8	S	
0,114561	173	09  00  00  00  00  00  00  00	8	S	
0,115045	172	00  00  00  00  74  C3  05  00	8	S	
0,115537	171	00  00  00  00  00  08  00  00	8	S	
0,116021	168	47  00  48  22  00  00  FF  FF	8	S	
0,116504	167	0C  00  00  00  71  FF  3A  FF	8	S	
0,117000	166	00  00  FF  FF  02  00  00  00	8	S	
0,117479	165	07  02  FF  FF  00  00  DA  FB	8	S	
0,117980	164	00  00  00  00  00  00  00  00	8	S	
0,118447	163	ED  01  D8  01  EC  01  EC  01	8	S	
0,118951	192	00  00  00  00  01  00  00  00	8	S	
0,123567	173	00  00  00  00  00  00  00  00	8	S	
0,124039	174	10  00  24  18  10  05  13  20	8	S	
0,124530	172	00  00  02  00  77  C3  05  00	8	S	
0,125022	171	00  00  00  00  00  08  00  00	8	S	
0,125506	170	07  00  01  04  01  00  80  00	8	S	
0,125982	169	96  00  F9  00  FC  01  88  04	8	S	
0,126462	168	47  00  48  22  00  00  03  00	8	S	
0,126945	167	0F  00  00  00  76  FF  4F  FF	8	S	
0,127433	166	02  00  01  00  08  00  00  00	8	S	
0,127916	165	08  02  00  00  00  00  DA  FB	8	S	
0,128416	164	00  00  00  00  00  00  00  00	8	S	
0,128884	163	EC  01  D8  01  EC  01  EC  01	8	S	
0,129348	162	F0  D8  F0  D8  B6  01  00  00	8	S	
0,129799	161	27  01  E9  08  E7  08  F0  D8	8	S	
0,130275	160	ED  00  EC  00  EF  00  FC  00	8	S	
0,130779	192	00  00  00  00  01  00  00  00	8	S	
0,131291	192	00  00  00  00  01  00  00  00	8	S	
0,132559	173	04  00  00  00  00  00  00  00	8	S	
0,133050	172	00  00  00  00  7A  C3  05  00	8	S	
0,133542	171	00  00  00  00  00  08  00  00	8	S	
0,134022	168	47  00  48  22  03  00  FF  FF	8	S	
0,134502	167	0C  00  00  00  7A  FF  3E  FF	8	S	
0,134985	166	02  00  FC  FF  00  00  00  00	8	S	
0,135465	165	07  02  00  00  00  00  DA  FB	8	S	
0,135965	164	00  00  00  00  00  00  00  00	8	S	
0,136433	163	EC  01  D8  01  EC  01  EC  01	8	S	
0,136937	192	00  00  00  00  01  00  00  00	8	S	
0,138844	192	00  00  00  00  01  00  00  00	8	S	
0,141488	173	00  00  00  00  00  00  00  00	8	S	
0,141972	172	00  00  FB  FF  7D  C3  05  00	8	S	
0,142463	171	00  00  00  00  00  08  00  00	8	S	
0,142935	168	47  00  48  22  02  00  F6  FF	8	S	
0,143419	167	0C  00  00  00  7A  FF  4B  FF	8	S	
0,143902	166	FD  FF  F9  FF  FD  FF  00  00	8	S	
0,144382	165	09  02  00  00  00  00  DA  FB	8	S	
0,144882	164	00  00  00  00  00  00  00  00	8	S	
0,145342	163	ED  01  D9  01  EC  01  EC  01	8	S	
0,145845	192	00  00  00  00  01  00  00  00	8	S	
0,148840	192	00  00  00  00  01  00  00  00	8	S	
0,150652	173	00  00  00  00  00  00  00  00	8	S	
0,151140	172	00  00  00  00  80  C3  05  00	8	S	
0,151632	171	00  00  00  00  00  08  00  00	8	S	
0,152103	168	47  00  48  22  FE  FF  01  00	8	S	
0,152591	167	0C  00  00  00  7F  FF  4B  FF	8	S	
